"ANOENC"	"NUMERO"	"CCAA"	"NUTS1"	"CAPROV"	"TAMAMU"	"DENSIDAD"	"CLAVE"	"CLATEO"	"FACTOR"	"NMIEMB"	"TAMANO"	"NMIEMSD"	"NMIEMHU"	"NMIEMIN"	"NMIEM1"	"NMIEM2"	"NMIEM3"	"NMIEM4"	"NMIEM5"	"NMIEM6"	"NMIEM7"	"NMIEM8"	"NMIEM9"	"NMIEM10"	"NMIEM11"	"NMIEM12"	"NMIEM13"	"NUMACTI"	"NUMINACTI"	"NUMOCU"	"NUMNOCU"	"NUMESTU"	"NUMNOESTU"	"NNINOSD"	"NHIJOSD"	"UC1"	"UC2"	"PF2TEO"	"PF2RECO"	"TIPHOGAR1"	"TIPHOGAR2"	"TIPHOGAR3"	"TIPHOGAR4"	"TIPHOGAR5"	"TIPHOGAR6"	"TIPHOGAR7"	"TIPHOGAR8"	"TIPHOGAR9"	"TIPHOGAR10"	"TIPHOGAR11"	"SITUOCUHOG"	"SITUACTHOG"	"NORDENSP"	"EDADSP"	"SEXOSP"	"PAISNACSP"	"NACIONASP"	"PAISSP"	"SITURESSP"	"ECIVILLEGALSP"	"NORDENCOSP"	"UNIONSP"	"CONVIVENCIASP"	"NORDENPASP"	"PAISPADRESP"	"NORDENMASP"	"PAISMADRESP"	"ESTUDIOSSP"	"ESTUDREDSP"	"SITUACTSP"	"SITUREDSP"	"OCUSP"	"JORNADASP"	"PERCEPSP"	"IMPEXACPSP"	"INTERINPSP"	"TRABAJO"	"OCUPA"	"OCUPARED"	"ACTESTB"	"ACTESTBRED"	"SITPROF"	"SECTOR"	"CONTRATO"	"TIPOCONT"	"SITSOCI"	"SITSOCIRE"	"REGTEN"	"TIPOEDIF"	"ZONARES"	"TIPOCASA"	"NHABIT"	"ANNOCON"	"SUPERF"	"AGUACALI"	"FUENAGUA"	"CALEF"	"FUENCALE"	"DISPOSIOV"	"NUMOVD"	"REGTENV1"	"MESESV1"	"DIASV1"	"AGUACV1"	"FUENACV1"	"CALEFV1"	"FUENCAV1"	"REGTENV2"	"MESESV2"	"DIASV2"	"AGUACV2"	"FUENACV2"	"CALEFV2"	"FUENCAV2"	"REGTENV3"	"MESESV3"	"DIASV3"	"AGUACV3"	"FUENACV3"	"CALEFV3"	"FUENCAV3"	"REGTENV4"	"MESESV4"	"DIASV4"	"AGUACV4"	"FUENACV4"	"CALEFV4"	"FUENCAV4"	"REGTENV5"	"MESESV5"	"DIASV5"	"AGUACV5"	"FUENACV5"	"CALEFV5"	"FUENCAV5"	"REGTENV6"	"MESESV6"	"DIASV6"	"AGUACV6"	"FUENACV6"	"CALEFV6"	"FUENCAV6"	"REGTENV7"	"MESESV7"	"DIASV7"	"AGUACV7"	"FUENACV7"	"CALEFV7"	"FUENCAV7"	"REGTENV8"	"MESESV8"	"DIASV8"	"AGUACV8"	"FUENACV8"	"CALEFV8"	"FUENCAV8"	"REGTENV9"	"MESESV9"	"DIASV9"	"AGUACV9"	"FUENACV9"	"CALEFV9"	"FUENCAV9"	"GASTOT"	"IMPUTGAS"	"GASTMON"	"GASTNOM1"	"GASTNOM2"	"GASTNOM3"	"GASTNOM4"	"CAPROP"	"CAJENA"	"PENSIO"	"DESEM"	"OTRSUB"	"RENTAS"	"OTROIN"	"FUENPRIN"	"FUENPRINRED"	"IMPEXAC"	"INTERIN"	"NUMPERI"	"COMIMH"	"COMISD"	"COMIHU"	"COMIINV"	"COMITOT"
2023	7633	13	3	6	5	3	2	2	919.033721	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	1	0	1	1	1	1	1	0	2	0	0	1.7	1.5	1	1	10	10	10	5	5	4	7	4	2	6	6	-9	-9	1	56	1	1	1		1	4	99		3	99	1	2	1	3	2	1	1	1	1	1	-9	-9	1	5	3	O	3	1	1	1	1	3	1	1	2	3	1	4	6	120	1	1	1	1	6																																																																	21921146.26	0	16523999.42				5397146.84	6	1	1	6	6	6	6	2	2	2358	05	2	25	0	0	0	25
2023	7634	02	2	6	4	2	2	2	896.049913	3	3	0	0	0	3	0	0	3	0	3	0	0	0	1	2	0	0	2	1	2	1	0	3	0	0	2.4	2	2	0	11	11	10	7	7	9	4	4	3	6	6	3	3	1	58	1	1	1		1	2	2	1	1	99	1	99	1	3	2	1	1	1	1	1	-9	03	1	9	5	G	3	1	6	1	1	1	1	1	4	3	2	6	6	90	1	1	1	4	6																																																																	34396787.6	11.87	29443560.96				4953226.64	6	1	6	6	6	6	6	2	2	2201	05	2	40	0	0	0	40
2023	7635	12	1	6	5	3	1	1	844.833348	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	2	0	0	1	1	1	1	0	2	0	0	1.7	1.5	1	1	6	6	5	6	6	5	3	2	2	3	3	5	5	1	43	1	1	1		1	1	2	3	2	99	1	99	1	4	3	1	1	1	1	1	1200	03	1	5	3	I	3	1	6	1	1	1	1	5	4	3	2	5	6	80	1	3	6		6																																																																	18210326.97	0	13367850			1337905.14	3504571.83	6	1	1	6	6	6	6	3	3	2541	06	2	28	0	0	0	28
2023	7636	01	6	6	2	2	2	2	1388.014424	4	4	0	0	0	2	2	2	2	2	2	0	2	0	0	2	0	0	1	3	1	3	0	4	2	2	2.7	2.1	1	1	8	8	7	10	10	7	5	3	5	4	4	5	5	2	48	1	1	1		1	2	1	1	1	99	1	99	1	7	4	1	1	1	1	1	2300	05	1	2	2	P	3	1	1	1	1	4	2	3	4	3	2	6	6	200	1	3	6		6																																																																	31864204.04	0	31864204.04					6	1	6	6	6	6	6	2	2	2300	05	1	56	0	0	0	56
2023	7637	05	7	1	1	1	2	2	393.88974	2	2	0	0	0	2	0	0	2	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1.7	1.5	1	1	10	4	9	8	8	2	7	4	4	2	2	-9	-9	1	54	6	1	1		1	5	99		3	99	1	99	1	7	4	1	1	1	1	1	-9	06	1	4	3	K	3	1	6	1	1	2	2	2	4	2	2	4	1	75	1	1	6		6																																																																	14197837.03	0	11898742.16				2299094.87	6	1	6	6	6	6	6	2	2	2705	06	1	20	0	0	0	20
2023	7638	08	4	1	2	1	1	1	816.836932	4	4	0	0	0	4	0	0	4	0	4	0	0	2	0	2	0	0	1	3	1	3	2	2	2	2	3.1	2.5	3	3	11	11	7	10	10	8	5	4	5	4	4	5	5	2	54	6	1	1		1	1	1	3	2	99	1	99	1	3	2	1	1	1	1	1	-9	03	1	7	4	C	2	1	6	1	1	1	1	3	4	3	2	5	1	90	1	2	1	2	6																																																																	20185849.34	0	20185849.34					6	1	1	6	6	6	6	2	2	1694	04	2	56	0	0	0	56
2023	7639	12	1	6	4	3	1	1	448.865915	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	1	1	0	0	2	0	2	0	2	0	0	1.7	1.5	1	1	5	5	4	5	5	5	3	1	2	3	3	8	8	2	67	1	1	1		1	2	1	1	1	99	1	99	1	3	2	4	2	2		1	1100	03	1	7	4	F	2	1	6	1	1	8	5	1	3	3	2	6	6	120	1	4	1	4	6																																																																	12530402.23	0	9434569.27	459808.61			2636024.34	6	6	1	6	6	6	6	3	3	1550	04	2	28	0	0	0	28
2023	7640	13	3	6	2	2	1	1	2036.634402	4	4	0	0	0	3	1	1	3	1	3	1	0	0	2	1	0	0	3	1	2	2	0	4	1	1	2.9	2.3	2	1	12	12	10	12	12	7	8	4	6	5	5	3	1	1	31	1	4	2	3	1	2	2	1	1	99	4	99	4	4	3	1	1	1	1	1	-9	03	1	4	3	N	3	1	6	1	2	2	2	3	4	3	2	5	6	70	1	1	1	1	6																																																																	124172228.69	1.07	124172228.69					6	1	6	6	1	6	6	2	2	2330	05	3	41	0	0	0	41
2023	7641	09	5	6	5	3	1	2	1932.03465	4	4	0	0	0	4	0	0	4	1	3	0	0	2	0	2	0	0	1	3	1	3	2	2	2	2	3.1	2.5	3	3	11	11	7	10	10	8	5	4	5	4	4	5	5	1	56	1	1	1		1	2	2	1	1	99	1	99	1	7	4	1	1	1	1	1	-9	07	1	1	1	K	3	1	1	1	1	4	2	1	2	7	2	6	1	200	1	4	1	4	6																																																																	197558835.62	0	172387867.79				25170967.83	6	1	6	6	6	1	6	2	2	5577	08	1	40	0	0	0	40
2023	7642	06	1	6	4	2	2	2	604.356396	5	5	0	0	0	5	0	0	5	0	5	0	0	1	1	2	1	0	4	1	4	1	0	5	0	0	3.8	3	4	4	12	12	10	7	7	8	8	4	3	6	6	1	1	1	44	1	1	1		1	1	2	2	2	99	1	99	1	3	2	1	1	1	1	1	-9	03	1	5	3	G	3	1	6	1	1	1	1	3	4	3	2	5	6	80	1	2	1	2	6																																																																	29593519.96	0	29593519.96					6	1	1	6	6	6	6	2	2	4297	07	5	70	0	0	0	70
