id,factor,c_autonoma,tam_municipio,tamano_ocde,n_menores,n_mayores,n_ocupados,hombre,edad,ocupado,estudios,sector_publico,ingresos_hogar,alquiler,n_habitaciones,tipo_hogar,prop_alimentacion,prop_alcohol_tabaco,prop_ropa_calzado,prop_vivienda,prop_mobiliario,prop_salud,prop_transporte,prop_comunicaciones,prop_ocio_cultura,prop_educacion,prop_hoteles_restaurantes,prop_bienes_servicios,gasto_total,gasto_total_crudo,log_gasto_total_crudo,log_ingresos_hogar
1,400.95406,País Vasco,Pequeño,1.0,0,1,1,0,46-65,1,Medio,0.0,1206,0,4.0,Persona sola <65,0.20692736851123864,0.0,0.017123706473517596,0.551393652486921,0.02992107590498706,0.020303784627524177,0.0,0.02591912234967824,0.017909818910153672,0.0,0.08072589202697505,0.049775578709004745,8546550.959999999,21315.53664776458,9.967238418919084,7.095893221097532
2,1575.616402,Cataluña,Pequeño,2.0,2,1,1,0,31-45,1,Alto,1.0,859,0,5.0,Adulto con hijos,0.2526668237372454,0.015134893340252146,0.03736543413852946,0.42683803889379823,0.0064961285876162,0.041692445319019424,0.03685347801150683,0.031627654958587305,0.0,0.05220909384963468,0.03571157161112281,0.06340443755268743,25652119.990000002,16280.688597452161,9.697796356379977,6.756932389247553
3,962.46536,Andalucía,Grande,1.0,0,1,1,1,46-65,1,Medio,0.0,850,0,5.0,Persona sola <65,0.22402689110847018,0.0,0.07680536695605861,0.629317013906933,0.01302191164186494,0.0,0.0026585148346888717,0.03408886369291019,0.0,0.0,0.0,0.020081437859074132,15246365.930000002,15840.950296642366,9.67041678257721,6.7464121285733745
4,621.096916,Aragón,Pequeño,1.7,0,2,0,1,Más de 65,0,Medio,0.0,2102,0,5.0,Pareja sin hijos,0.18086475022215676,0.00011647063761670427,0.030337100122563403,0.3851151052008659,0.3323318195929098,0.00043115059552058824,0.004095737866236827,0.03569948581003976,0.0016444427512169579,0.0,0.004378388139346251,0.02498554906152716,12526504.79,20168.357735010875,9.911919787853808,7.6511201757027
5,260.852439,Navarra,Mediano,3.1,0,4,2,1,46-65,1,Medio,0.0,3500,0,5.0,Pareja con hijos,0.3248961328176115,0.007496725883517516,0.07494607588825129,0.2316058193528819,0.022050324587901217,0.1015383350167594,0.0990572430857683,0.056321283639691834,0.011733600383421165,0.01904453639021393,0.0020309733396018156,0.04927894961438016,14450302.93,55396.464703939375,10.922289108221397,8.160803920954665
6,886.045348,Aragón,Pequeño,1.0,0,1,0,0,Más de 65,0,Bajo,0.0,1400,0,5.0,Persona sola ≥65,0.4824456999920526,0.0036333344084666453,0.13189313363318947,0.10517360609271605,0.03930349962982568,0.02040528986288689,0.0002577440698970766,0.013045418070616011,0.17476443236086314,5.039754130808732e-05,0.0002686791672219661,0.028758765170956307,56195201.720000006,63422.48943222261,11.057589567585087,7.244941546337007
7,255.876616,La Rioja,Pequeño,1.0,0,1,0,1,Más de 65,0,Bajo,0.0,958,0,6.0,Persona sola ≥65,0.19688489928859604,0.011279664657659262,0.0,0.650859024574185,0.006176869767328404,0.0,0.0,0.004015934806720763,0.0,0.0,0.11279714888641504,0.017986458019095496,5275628.47,20617.860875571372,9.933961512377232,6.8658910748834385
8,457.008134,Castilla y León,Pequeño,1.7,0,2,0,1,Más de 65,0,Medio,0.0,2225,0,6.0,Pareja sin hijos,0.254361177320825,0.08054166217126382,0.020230642283395262,0.1586872529964147,0.03206946324126719,0.0,0.18353721819056054,0.015960303650244888,0.014509366858560213,0.0,0.18259087083974299,0.057512042447725474,18898473.15,41352.59691023355,10.629914683615091,7.70796153183549
9,1005.400286,Comunidad Valenciana,Grande,1.7,0,2,2,1,31-45,1,Medio,0.0,2645,0,5.0,Pareja sin hijos,0.27960577469074976,0.0,0.036662463392393166,0.2953251670754839,0.07381261819419924,0.0016873659204545786,0.0961537116409386,0.06902088577498534,0.0,0.0,0.09432720328926417,0.05340481002153113,23755226.720000003,23627.630756412975,10.070214423365082,7.880804344674901
10,802.184874,Galicia,Pequeño,3.6,1,4,1,1,Más de 65,0,Medio,1.0,3487,0,7.0,Otros hogares,0.05923959392704929,0.008634927579342928,0.02111321396308893,0.4894623962718781,0.052330997780932316,0.09492280048652077,0.007046802853770316,0.14538620497878557,0.010382354123520362,0.0,0.03977520593659602,0.07170550209851546,11102572.559999999,13840.416243001857,9.535420553633001,8.15708378502887
11,452.425942,País Vasco,Muy Grande,1.7,0,2,0,1,Más de 65,0,Medio,0.0,2233,0,5.0,Pareja sin hijos,0.07327995799794733,0.0,0.015457901559405716,0.49293143028010833,0.009900526677925714,0.01693708706733988,0.1653015801837576,0.021278586857810783,0.022225040612205482,0.0,0.11894301334123053,0.06374487542226863,15308661.34,33836.833653539696,10.429334794340576,7.711548979629146
12,262.721881,Extremadura,Pequeño,1.7,0,2,0,1,46-65,0,Bajo,0.0,1273,0,6.0,Pareja sin hijos,0.1537739081007813,0.0,0.0,0.28572536411773597,0.09002448048666602,0.0,0.08583076417102782,0.025178045199288127,0.0,0.0,0.257274109398034,0.10219332852646662,4883375.140000001,18587.62247519079,9.830304977657434,7.149916836132109
13,2105.799674,Comunidad Valenciana,Muy Grande,2.4,0,3,1,1,31-45,1,Medio,0.0,2968,1,4.0,Pareja con hijos,0.16567470784102167,0.0,0.05747343036283538,0.30042842342630044,0.08168137787168062,0.0,0.10602974452318702,0.038777045177674316,0.06358926777395833,0.0,0.12042407036957269,0.06592193265376957,52602300.94,24979.726984229746,10.125859885907406,7.99598047476376
14,676.854077,Castilla-La Mancha,Pequeño,1.0,0,1,1,1,18-30,1,Medio,0.0,1200,0,5.0,Persona sola <65,0.0,0.0,0.0,0.5841141986151345,0.15293040364797092,0.0,0.14284083345589485,0.11174778465404193,0.0,0.0,0.0,0.008366779626957954,7874073.77,11633.34023915468,9.361716369285869,7.0909098220799835
15,814.229637,Asturias,Pequeño,1.7,0,2,2,1,31-45,1,Medio,0.0,3137,0,4.0,Pareja sin hijos,0.240550180454739,0.0,0.03228295850474866,0.17264295559240278,0.04380828711975115,0.0,0.2830075496345062,0.016119323287006687,0.05886468457743675,0.0,0.009977065306891502,0.14274699552251735,24549144.709999997,30150.148796413803,10.313978304129733,8.051340933292979
16,2555.253887,Cataluña,Mediano,4.8,2,5,4,0,31-45,1,Medio,0.0,4166,1,6.0,Otros hogares,0.0,0.0,0.0,0.6307782648715311,0.0,0.0,0.09753568377367626,0.11044232076452916,0.0809932800792516,0.011972067226474611,0.0,0.06827838328453723,34149542.620000005,13364.442098586662,9.500427706857701,8.334951631422454
17,320.505612,Murcia,Muy Grande,1.0,0,1,1,0,46-65,1,Medio,0.0,1300,0,4.0,Persona sola <65,0.15059537917051685,0.0,0.03177337264851117,0.46587974626195433,0.03666394452766368,0.026889617213764472,0.022565578467101687,0.02238431063274674,0.08028038531479186,0.0,0.013972016232878123,0.1489956495300711,8590989.16,26804.489027168736,10.196361959973927,7.170888478512505
18,490.526126,Murcia,Mediano,1.7,0,2,1,1,46-65,1,Medio,0.0,2741,0,4.0,Pareja sin hijos,0.2583805932156138,0.06198363061561467,0.0015149364037596708,0.1978653662134058,0.012672277598259259,0.08196162045394503,0.2445099168109629,0.015944561586748947,0.00225930636542846,0.0,0.013110841609165636,0.10979694912709581,14028602.09,28599.092579219727,10.26116523383836,7.91644286012226
19,1333.05724,Murcia,Muy Grande,1.0,0,1,1,0,31-45,1,Medio,0.0,1300,1,3.0,Persona sola <65,0.21150125711724174,0.0,0.1475338020542453,0.24470641394115694,0.13773910278958293,0.05800599712068869,0.029175623668952634,0.011585161370833513,0.0603774670605455,0.0,0.0,0.09937517487675274,34519775.53,25895.193765272976,10.161851278018347,7.170888478512505
