id,factor,c_autonoma,tam_municipio,tamano_ocde,n_menores,n_mayores,n_ocupados,hombre,edad,ocupado,estudios,sector_publico,ingresos_hogar,alquiler,n_habitaciones,tipo_hogar,prop_alimentacion,prop_alcohol_tabaco,prop_ropa_calzado,prop_vivienda,prop_mobiliario,prop_salud,prop_transporte,prop_comunicaciones,prop_ocio_cultura,prop_educacion,prop_hoteles_restaurantes,prop_bienes_servicios,gasto_total,gasto_total_crudo,log_gasto_total_crudo,log_ingresos_hogar,movilidad_vs_vivienda,alimentacion_vs_restauracion,otros_bienes_servicios_personales,vivienda_vs_restauracion_alcohol_tabaco,equipamiento_hogar,salud,educacion,ocio_imagen_personal_vs_vivienda,sector_publico_imp,particion,cluster_k9,cluster_9,perfil_consumo
12919,250.71076,La Rioja,Pequeño,3.1,0,4,2,1,46-65,1,Alto,,4000,0,5.0,Pareja con hijos,0.1968602711242648,0.006914214008033,0.0238214772322902,0.1452059998281,0.0925595897436452,0.004538107555947,0.1083733985845873,0.0621988093387288,0.0341642307855828,0.0353402323866047,0.1535302892036477,0.1364933802085679,10641303.54,42444.54262752824,10.65597718334122,8.294299608857235,-0.22551172125723828,-0.2262514465027978,1.609260155405318,-0.5723273955156271,0.6563976744424884,-0.6214578078145822,0.8447474301056681,0.2952303387131986,0,train,5.0,5,"Bienes, servicios e imagen personal"
16710,1397.98504,Andalucía,Muy Grande,2.9,1,3,2,0,46-65,1,Medio,1.0,2658,0,6.0,Pareja con hijos,0.2627222097613659,0.0,0.0565240976495438,0.2686764216765063,0.0276348792413842,0.0154459772088647,0.0708406117071363,0.0334497854797671,0.0215774642493345,0.0,0.0944748418434646,0.1486537111826323,37614188.61,26906.00223447312,10.200141837830415,7.88570539124302,-0.06943052491216425,0.6216667585072267,1.4126685709547975,0.07923248542554158,0.006506538489346723,-0.21673729136688172,-0.04687887805182247,0.3120095588935032,1,train,5.0,5,"Bienes, servicios e imagen personal"
12398,2439.490576,Andalucía,Pequeño,2.9,1,3,1,1,46-65,1,Medio,1.0,2546,0,8.0,Pareja con hijos,0.1749497343236933,0.0119540507397158,0.0623703363914989,0.3695598741661235,0.0120750467216063,0.0048167664660468,0.1128250869230405,0.0232938938336896,0.1062476925073611,0.0075293784206296,0.0654992856973554,0.0488788538092388,183057897.08,75039.39506097931,11.225781848338148,7.842671474979457,-0.09124815286085063,0.04980957417644903,-0.6341357845526044,0.4193019133852955,-0.4565359961377229,-0.5030686908062183,-0.1518677823601002,0.8705548168721363,1,train,0.0,0,Ocio y restauración
11936,179.353992,Cantabria,Muy Grande,2.2,1,2,1,1,31-45,1,Alto,,2688,1,4.0,Pareja con hijos,0.0924231884611277,0.0,0.1142190784867803,0.31483091433997,0.0036211603153951,0.3034191287648495,0.0016476037294242,0.0526168561769204,0.0257173086042346,0.0,0.0,0.0915047611212976,5457568.37,30429.032045185813,10.323185295969196,7.896924656268864,0.8640944866525582,-0.18249394246126266,1.357697556810193,0.9325076548165113,-1.1925218971721963,4.013575680906981,-0.5273181609324198,0.546350194730098,0,train,8.0,8,Salud
8400,342.570209,Extremadura,Pequeño,2.2,1,2,2,0,31-45,1,Alto,1.0,3301,1,5.0,Pareja con hijos,0.150373160465347,0.0055868131410275,0.0198711037513741,0.125109128048265,0.0484350110315029,0.0192659574406683,0.3361109000512362,0.0217444986168161,0.052436634724212,0.0064491981726356,0.1613852262936589,0.0532323682632555,12907737.950000005,37679.1023004572,10.5368874436669,8.102283624480073,-2.4299787476352916,-0.5579607432088793,-0.4057186711154559,-0.3080057410745493,0.40448501691158734,-0.09902892238939541,0.09750513058238933,0.5616905766331977,1,train,1.0,1,Movilidad intensiva
7876,370.729303,Asturias,Pequeño,1.7,0,2,0,1,Más de 65,0,Medio,0.0,2300,0,5.0,Pareja sin hijos,0.4429466095142801,0.0015328383853164,0.024976999847969,0.2445482540202317,0.0238195785532148,0.0623770078365092,0.0970880851352223,0.0150222974316594,0.0053392292106108,0.0,0.0,0.0823491000649855,11918823.390000002,32149.66632945117,10.378188455094886,7.741099090035366,-0.48328750979280516,2.5695502691249255,0.0386256606672375,0.06632741553377071,0.17593482458159632,0.727222646511928,0.007784119196137434,-0.10599237447121211,0,train,7.0,7,Consumo básico doméstico
1478,482.973924,Castilla-La Mancha,Pequeño,1.7,0,2,0,0,Más de 65,0,Bajo,0.0,788,0,5.0,Adulto con hijos,0.3621779143689855,0.0104467354175487,0.000511998486768,0.4706894251640873,0.0179532045122893,0.0020500967161703,0.0271741108465168,0.0436909594138525,0.0044057952133845,0.0,0.0318079632710829,0.0290917965893136,5040971.930000001,10437.358373823929,9.253242605185916,6.670766320845874,0.7407168567366738,1.626662398658337,-0.7594336634763349,-0.03142075287224603,-0.5365350194764681,-0.6166401944448546,-0.35729217731576357,-1.098563460493953,0,train,7.0,7,Consumo básico doméstico
10512,181.872702,Navarra,Mediano,1.7,0,2,0,1,Más de 65,0,Medio,0.0,2900,0,5.0,Pareja sin hijos,0.1002063401168053,0.018838666757322,0.0099860309617118,0.4706972657707596,0.0484776119488648,0.0082946196972666,0.1105533125561364,0.0189407871689699,0.094819950103466,0.0,0.0857916561375097,0.0333937587811872,8641954.98,47516.504043580986,10.76885342832166,7.972810784121404,0.08598705135913293,-0.7112598169297099,-1.2176232471318913,0.24564889374931106,0.23689097093506514,-0.39344477856767157,-0.5392165483771472,-0.1334311855502857,0,train,0.0,0,Ocio y restauración
15159,632.211839,Extremadura,Grande,1.0,0,1,0,1,Más de 65,0,Alto,0.0,1238,0,5.0,Persona sola ≥65,0.0,0.0,0.0559811158800463,0.4505079726973399,0.061743864706672,0.0,0.1058815731051917,0.0465576237400284,0.0637182124363434,0.0,0.1898180171181809,0.0257916203161971,9921995.86,15694.100059394808,9.661103844495925,7.122059881629142,0.2514064737706092,-2.032871580966836,-0.5820099185699491,0.4397627766282803,0.06446193814422901,-0.8936833016854405,-0.44144060210701125,0.13750829875548654,0,train,0.0,0,Ocio y restauración
15373,1156.855068,Castilla y León,Muy Grande,1.0,0,1,0,0,Más de 65,0,Bajo,0.0,2295,0,5.0,Persona sola ≥65,0.1414848269332618,0.0026655253698319,0.0299333861107082,0.2244976335406443,0.3711731852598164,0.1346372430980416,0.0013469986693084,0.023974251776179,0.000790879591046,0.0002632328377976,0.0014043727535426,0.0678284640598215,56143641.21000001,48531.2661568424,10.789984137308265,7.738923757439457,0.68861539545229,0.20325372516375065,0.6254574028825116,0.4583854962938887,6.010096426598715,1.4173616356588479,-0.6357840922510082,-0.41011653861784597,0,train,6.0,6,Equipamiento del hogar
